,pmid_pmcid,publisher,journal_title,article_title,cost_with_vat
557,PMC3526772,Elsevier,European journal of medical genetics,Array Comparative Genomic Hybridization: Results from an adult population with drug-resistant epilepsy and co-morbidities,2281.08
558,23707654 PMC3744815 ,Elsevier,European journal of medical genetics,The internet is parents main source of information about psychiatric manifestationsof 22q11.2 deletion syndrome,2468.5
559,3791403,Elsevier,European neuropsychopharmacology,Systematic Review and Meta Analysis of Serotonin Transporter Genotype and Discontinuation from Antidepressant Treatment,2325.59
560,PMC3632754,Elsevier,Experimental cell research,Perturbation of invadolysin disrupts cell migration in zebrafish (Danio rerio),1852.505
561,"PMC3562441

",Elsevier,Experimental eye research,"Ccl2, Cx3r1 and Ccl2/Cx3cr1 chemokine deficiencies are not sufficient to cause age-related retinal degeneration",2395.43
562,PMID:23220237 PMC3630327,Elsevier,Experimental hematology,Gene Set Control Analysis (GSCA) predicts haematopoietic control mechanisms from genome-wide transcription factor binding data,2328.24
563,PMCID: PMC3782662,Elsevier,Experimental neurology,The late response of rat subependymal zone stem and progenitor cells to stroke is restricted to directly affected areas of their niche,1771.93
564,PMC3556781,Elsevier,Experimental neurology,ErbB1 epidermal growth factor receptor is a valid target for reducing the effects of multiple inhibitors of axonal regeneration,2380.28
565,23183165,Elsevier,Experimental parasitology,"Development of a multiplex PCR assay for simultaneous detection of Theileria annulata, Babesia bovis and Anaplasma marginale in cattle",2329.56
566,PMID: 23538029 PMC3659828 ,Elsevier,Experimental parasitology,Cell density-dependent ectopic expression in bloodstream form Trypanosoma brucei,2441.16
567,1852.505,Elsevier,Febs letters,Ca2+-calmodulin inhibits tail-anchored protein insertion into the mammalian endoplasmic reticulum membrane,2228.0
568,PMCID: PMC3640159,Elsevier,Febs letters,Sialic acids acquired by Pseudomonas aeruginosa are involved in reduced complement deposition and siglec mediated host-cell recognition.,2244.57
569,1852.505,Elsevier,Febs letters,Structural and functional evidence for a substrate exclusion mechanism in mammalian tolloid like-1 (TLL-1) proteinase,2362.82
570,PMCID: PMC3655261,Elsevier,Febs letters,IFN? autocrine feedback is required to sustain TLR induced production of MCP-1 in macrophages,2465.93
571,23650598  PMC3642154 ,Elsevier,Febs open bio,'CD248 expression on mesenchymal stromal cells is required for post-natal and infection-dependent thymus remodelling and regeneration,1254.25
572,PMC3502866,Elsevier,Fertility and sterility,Is early age at menarche a risk factor for endometriosis? A systematic review and meta-analysis of case-control studies.,2169.98
573,PMC3679489,Elsevier,Fertility and sterility,Impact of endometriosis on quality of life and work productivity: a multicenter study across ten countries.,2373.76
574,PMC3679490,Elsevier,Fertility and sterility,Developing symptom-based predictive models of endometriosis as a clinical screening tool: results from a multicenter study.,2373.76
575,3684770,Elsevier,Free radical and biology medicine,S[+]apomorphine is a CNS penetrating activator of the Nrf2-ARE pathway with activity in mouse and patient fibroblast models of amyotrophic lateral sclerosis,1755.59
576,3605576,Elsevier,Fungal biology,Expression and secretion of Aspergillus fumigatus proteases is regulated in response to different protein substrates,2272.01
577,PMC3809933,Elsevier,Fungal ecology,Species-specific PCR to describe local-scale distributions of four cryptic species in the Penicillium chrysogenum complex,2378.19
578,PMC3507624 ,Elsevier,Gastroenterology,Intestinal Dendritic Cells Specialize to Activate Transforming Growth Factor-? and Induce Foxp3+ Regulatory T Cells via Integrin ?v?8,2228.0
579,PMC3688188,Elsevier,Gene,Identification of multiple binding sites for the THAP domain of the Galileo transposase in the long terminal inverted-repeats,2406.1
580,PMCID: PMC3611593 ,Elsevier,Gene,"Dissecting the mechanisms responsible for the multiple insecticide resistance phenotype in Anopheles gambiae s.s., M form, from Vallée de Kou, Burkina Faso",2445.23
581,PMC3725413,Elsevier,Gene,Identification of a SLC19A2 nonsense mutation in Persian families with thiamineresponsive megaloblastic anemia,2468.74
582,"PMC3725417

",Elsevier,Gene therapy,"Gene therapy for PIDs: Progress, pitfalls and prospects",2446.97
583,1852.505,Elsevier,Health & place,Determinants and spatial patterns,1836.92
584,"PMID: 23376730 PMC3591252 
",Elsevier,Health and place,Is the environmental setting associated with the intensity and duration of childrens physical activity? Findings from the SPEEDY GPS study,1749.74
585,3690473,Elsevier,Immnunobiology,Regulation of TGFbeta in the immune system: an emerging role for integrins and dendritic cells,2317.94
586,PMC3556782,Elsevier,Immunity,The Transcription Factor STAT-1 Couples Macrophage Synthesis of 25-Hydroxycholesterol to the Interferon Antiviral Response,3799.84
587,"PMCID:     PMC3664922
",Elsevier,Immunity,Dysregulated Hematopoietic Stem and Progenitor Cell Activity Promotes Interleukin-23-Driven Chronic Intestinal Inflammation,4069.66
588,PMC3684771 ,Elsevier,Immunology letters,Sources of heterogeneity in human monocyte subsets,2961.92
589,PMC 3438445,Elsevier,Infection genetics and evolution,The emergence and maintenance of sickle cell hotspots in the mediterranean,1770.62
590,23137753,Elsevier,Int journal for parasitology,Flow cytometry-assisted rapid isolation of recombinant Plasmodium berghei parasites exemplified by functional analysis of aquaglyceroporin.,2294.0
591,PMC3407873,Elsevier,International health,Treatment of schistosomiasis in African infants and preschool-aged children: downward extension and biometric optimisation of the current praziquantel dose pole,1413.88
592,1852.505,Elsevier,International journal for parasitology,Functional expression of TcoAT1 reveals it to be a P1-type nucleoside transporter with no capacity for diminazene uptake,1410.0
593,1852.505,Elsevier,International journal of applied earth observation and geoinformation,"Mapping the distribution of the main host for plague in a complex landscape in Kazakhstan: An object-based approach using SPOT-5 XS, Landsat 7 ETM+, SRTM and multiple Random Forests",2330.12
594,1852.505,Elsevier,International journal of biochemistry & cell biology,"Lipidomic profiling in Crohn's disease: Abnormalities in phosphatidylinositols, with preservation of ceramide, phosphatidylcholine and phosphatidylserine composition",2384.53
595,PMC3819990 ,Elsevier,International journal of cardiology,"Mortality from Ischaemic Heart Disease by Country, Region, and Age: Statistics from World Health Organisation and United Nations data",1128.42
596,PMC3819621,Elsevier,International journal of cardiology,Defining cardiac adaptations and safety of endurance training in patients with m.3243A>G-related mitochondrial disease,2384.22
597,PMID: 23932869 PMC3819985,Elsevier,International journal of cardiology,Cardioprotective SUR2A promotes stem cell properties of cardiomyocytes,2406.73
598,PMC3572392,Elsevier,International journal of parasitology,Proteome analysis of the Theileria annulata schizont,2386.44
599,PMC3472557,Elsevier,J mol biol,Structural Basis for ASPP2 Recognition by the Tumor Suppressor p73.,2264.2
600,23291110,ELSEVIER,J steroid biochem mol biol,The structural biology of oestrogen metabolism.,2322.57
601,PMC3343258,Elsevier,Journal of affective disorders,Predictors of maternal psychological distress in rural India: A cross-sectional community-based study,2283.58
602,PMC3161178,Elsevier,Journal of affective disorders,The effects of postnatal maternal depression and anxiety on the processing of baby faces,2323.49
603,PMC3161179,Elsevier,Journal of affective disorders,Healthcare costs of paternal depression in the postnatal period,2357.04
604,PMC3781323 ,Elsevier,Journal of affective disorders,Prevalence and correlates of depression among HIV- infected and -affected older people in rural South Africa,1530.77
605,PMC3526791,Elsevier,Journal of allergy & clinical immunology,Functional KCa3.1 K+ channels are required for human fibrocyte migration,2277.79
606,PMC3526795,Elsevier,Journal of allergy & clinical immunology,CRACM/ Orai ion channel expression and function in human lung mast cells,2277.8
607,PMCID: PMC3629941,Elsevier,Journal of allergy and clinical immunology,Inflammation in common variable immunodeficiency is associated with a distinct CD8(+) response to cytomegalovirus,1914.82
608,23806636,Elsevier,Journal of allergy and clinical immunology,Prenatal alcohol exposure and childhood atopic disease: a Mendelian randomization approach,2320.04
609,1852.505,Elsevier,Journal of allergy and clinical immunology,Reduced type I interferon production by dendritic cells and weakened antiviral immunity in patients with Wiskott-Aldrich syndrome protein deficiency,2382.49
610,1852.505,Elsevier,Journal of anthropological archaeology,"Food and social complexity at Çayönü Tepesi, southeastern Anatolia: Stable isotope evidence of differentiation in diet according to burial practice and sex in the early Neolithic",2470.01
611,PMC3617599,Elsevier,Journal of archaeological science,Organic geochemical analysis of archaeological medicine pots from Northern Ghana. The multi-functionality of pottery,2243.55
612,1852.505,Elsevier,Journal of behavior therapy and experimental psychiatry,Contextualisation in the Revised Dual Representation Theory of PTSD,1442.64
613,PMC3545201,Elsevier,Journal of behavior therapy and experimental psychiatry,Imagery in the aftermath of viewing a traumatic film: Using cognitive tasks to modulate the development of involuntary memory,2332.6
614,PMC3566479,Elsevier,Journal of behaviour therapy and experimental psychiatry,Cognitive behavioural treatment of insomnia in patients with persecutory delusions: a pilot trial   ,2375.14
615,1852.505,Elsevier,Journal of clinical epidemiology,Systematic Reveiw of the Hawthorn effect: New concepts are  ....,1955.21
616,PMC3793856,Elsevier,Journal of clinical virology,Ecological and taxonomic variations among human RNA viruses,2486.13
617,PMID:23642644  PMC3851688 ,Elsevier,Journal of cycstic fibrosis,Extensive diversification is a common feature of Pseudomonas aeruginosa populations during respiratory infections in cystic fibrosis,2396.85
618,PMCID: PMC3625113,Elsevier,Journal of hepatology,"Gamma H2AX+CD8+ T-lymphocytes cannot respond to Interferon-alpha, Il-2 or Il-6 in chronic hepatitis C virus infection",2328.24
619,PMC3710969,Elsevier,Journal of hepatology,Pathogenesis of FOLFOX induced sinisoidal obstruction syndrome in murine chemotherapy model,2366.57
620,1852.505,Elsevier,Journal of historical geography,The making of urban healtheries: Lord Brabazon and the transformation of cemeteries and burial grounds in late-Victorian East London,596.46
621,PMC3580288,Elsevier,Journal of hospital infections,"Evaluation of surveillance for surgical site infections in Thika Hospital, Kenya",2293.37
622,PMID:23046967 /PMCID: PMC3540259,Elsevier,Journal of infection,The prevalence of cryptococcal antigenemia in newly diagnosed HIV patients in a Southwest London cohort,2286.09
623,"PMCID: PMC3466423
",Elsevier,Journal of mechanisms of ageing and development,Frequency distribution analysis of activation times and regional fibrosis in murine Scn5a+/- hearts: the effects of ageing and sex ,2696.34
624,PMC3437440,Elsevier,Journal of molecular biology,Selective Deactivation of Serum IgG: A General Strategy for the Enhancement of Monoclonal Antibody Receptor Interactions,2192.89
625,23318955  PMCID: PMC3593212 ,Elsevier,Journal of molecular biology,"Sequence-specific, RNA-protein interactions overcome electrostatic barriers preventing assembly of Satellite Tobacco Necrosis Virus coat protein",2372.01
626,PMCID: PMC3605589,Elsevier,Journal of molecular biology,A mechanistic explanation of the multiple helical forms adopted by bacterial flagellar filaments,2455.82
627,PMCID:PMC3759848,Elsevier,Journal of neuroscience methods,A Comparison of Automated Anatomical-Behavioural Mapping Methods in a Rodent Model of Stroke,1442.48
628,PMCID: PMC3683149 ,Elsevier,Journal of neuroscience methods,Registration of Challenging Pre-clinical Brain Images,2420.16
629,PMCID: PMC3383891,Elsevier,Journal of nutrition education and behaviour,Examining multiple parenting behaviours on young childrens dietary fat consumption,2321.23
630,Epub ahead of print April 2013 - print in press,Elsevier,Journal of paediatric urology,Persistent unexplained congenital clitoromegaly in females born extremely premature,1852.505
631,PMCID: PMC3714598,Elsevier,Journal of proteomics,Cleaning up the masses: Exclusion lists to reduce contamination with HPLC-MS/MS.,2471.41
632,PMC3714596 ,Elsevier,Journal of proteomics,Quantitative cross-linking/mass spectrometry using isotope-labelled cross-linkers.,2980.36
633,PMC3137789,Elsevier,Journal of structural biology,Cells under siege: Viral glycoprotein interactions at the cell surface,1939.95
634,PMC3477309,Elsevier,Journal of structural biology,Automation of large scale transient protein expression in mammalian cells,1939.95
635,PMC3477310,Elsevier,Journal of structural biology,How vaccinia virus has evolved to subvert the host immune response,1939.95
636,PMC3477311,Elsevier,Journal of structural biology,Recording information on protein complexes in an information management system,1939.95
637,PMC3477317,Elsevier,Journal of structural biology,xtalPiMS: A PiMS-based web application for the management and monitoring of crystallization trials,1939.95
638,PMC3477320,Elsevier,Journal of structural biology,From SPINE to SPINE-2 complexes and beyond,1939.95
639,PMC3355306,Elsevier,Journal of structural biology,Cryo-electron tomography and 3-D analysis of the intact flagellum in trypanosoma brucei,2284.19
640,3698441,Elsevier,Journal of structural biology,A method to achieve homogeneous dispersion of large transmembrane complexes within the holes of carbon films for electron cryomicroscopy,2328.43
641,PMCID:PMC3728563,Elsevier,Journal of the american academy of child and adolescent psychiatry,"Irritable Mood as a Symptom of Depression in Youth: Prevalence, Developmental, and Clinical Correlates in the Great Smoky Mountains Study",2409.8
642,"PMCID:
    PMC3677086
",Elsevier,Journal of the american college of cardiology,"The Relationship Between Metabolic Risk Factors and Incident Cardiovascular Disease in Europeans, South Asians, and African Caribbeans",1528.17
643,PMC3560033,Elsevier,Journal of the neurological sciences,The m.3291T>C mt-tRNA mutation is definitely pathogenic and causes multisystem mitochondrial disease,2404.27
644,Not yet available,Elsevier,Journal of transport geography,The factors influencing car use in a cycle-friendly city: the case of Cambridge,1188.83
645,PMC3470038,Elsevier,Journal of virological methods,A plate-based high-throughput assay for virus stability and vaccine formulation.,2165.92
646,PMID: 23903843 PMC3807398 ,Elsevier,Journal of virology,Herpes simplex virus 1 targets the murine olfactory neuroepithelium for host entry,1577.9
647,PMID: 23903840 PMC3807390 ,Elsevier,Journal of virology,Glycoprotein B cleavage is important for murid herpesvirus 4 to infect myeloid cells,1577.91
648,1852.505,Elsevier,Lancet,Global trends in antiretroviral resistance in treatment-naive individuals with HIV after rollout of antiretroviral treatment in resource-limited settings: a global collaborative study and meta-regression analysis,4800.0
649,PMID:23545320,Elsevier,Lancet global health,"Stroke risk factors within an incident population in urban and rural Tanzania: A prospective, community based case control study",3678.78
650,PMC3617601,Elsevier,Learning and individual differences,Understanding the science-learning environment:  a genetically sensitive approach,2302.93
651,PMC3611595 ,Elsevier,Matrix biology,Synthesis of embryonic tendon-like tissue by human marrow stromal/mesenchymal stem cells requires a three-dimensional environment and transforming growth factor b3,2272.01
652,PMC3611596 ,Elsevier,Matrix biology,An experimental model for studying the biomechanics of embryonic tendon: Evidence that the development of mechanical properties depends on the actinomyosin machinery,2272.01
653,1852.505,Elsevier,Matrix biology,The cell biology of suturing tendons,2272.01
654,1852.505,Elsevier,Maturitas,Age at natural menopause in three Central and Eastern European urban populations: the HAPIEE study,2320.35
655,PMC3710972,Elsevier,Mechanisms of ageing and development,Assessment of candidate ocular biomarkers of ageing in a South African adult population: relationship with chronological age and systemic biomarkers.,1758.59
656,PMC3818088,Elsevier,Mechanisms of ageing and development,Ocular parameters of biological ageing in HIV infected individual.,1769.78
657,PMID:23518266 -PMC3839404,Elsevier,Microbes and infection,Dectin-1 plays a redundant role in the immunomodulatory activities of  glucanrrich ligands in vivo,2863.73
658,PMC3484397,Elsevier,Microbes infect,The role of cGMP signalling in regulating life cycle progression of plasmodium,2283.0
659,22906508,Elsevier,Mol bio,Sirtuins of parasitic protozoa: in search of function(s),2215.0
660,PMID:23291342 PMC3581773,Elsevier,Molecluar & cellular endocrinology,Periconceptional changes in maternal exposure to sewage sludge chemicals disturbs fetal thyroid gland development in sheep ,1852.505
661,PMC3694310,Elsevier,Molecular & biochemical parasitology,Translational repression controls temporal expression of the Plasmodium berghei LCCL protein complex.,1737.96
662,PMC3473356,Elsevier,Molecular & biochemical parasitology,Conformational co-dependence between plasmodium berghai LCCL proteins promotes complex  formation and stability,2233.26
663,PMID:23769710  PMCID: PMC3820028 ,Elsevier,Molecular and cellular endocrinology,Endocrine disorders in mitochondrial disease,1750.81
664,PMC3566541,Elsevier,Molecular and cellular endocrinology,Ghrelin and cannabinoids require the Ghrelin receptor to affect cellular energy metabolism,2253.66
665,PMC3650577,Elsevier,Molecular and cellular endocrinology,FGF signalling through Fgfr2 isoform IIIb regulates adrenal cortex development ,2433.48
666,PMCID: 3715698,ELSEVIER,Molecular biology,FULL-LENGTH RECMBINANT PLASMODIUM  VAR2CSA BINDS SPECIFICALLY TO CSPG AND INDUSES POTENT PARASITE ADHESION-BLOCKING ANTIBODIES,2331.54
667,PMCID: PMC3473360,Elsevier,Molecular cell,Endoplasmic reticulum thiol oxidase deficiency leads to ascorbic acid depletion and non-canonical scurvy in mice,3722.39
668,PMCID: PMC3594747,Elsevier,Molecular cell,"Identification and Functional Characterization of FMN2, a Regulator of the Cyclin-Dependent Kinase Inhibitor p21",4148.39
669,PMC3594749,Elsevier,Molecular cell,Bax Exists in a Dynamic Equilibrium between the Cytosol and Mitochondria to Control Apoptotic Priming,1852.505
670,PMCID: PMC3679449,Elsevier,Molecular cell,Kinetochores coordinate pericentromeric cohesion and early DNA replication by Cdc7-Dbf4 kinase recruitment.,1852.505
671,PMC3682181 ,Elsevier,Molecular genetics and metabolism,Retinal thinning in Gaucher disease patients and carriers: results of a pilot study,1766.37
672,PMID:23182425,Elsevier,Molecular immunology,Antigen processing and presentation: evolution from a bird's eye view,2282.76
673,PMID:23200636,Elsevier,Molecular immunology,A tale of two tumours: comparison of the immune escape strategies of contagious cancers,2302.13
674,PMID: 23140835 PMC3625108 ,Elsevier,Molecular immunology,A novel post-transcriptional role for ubiquitin in the differential regulation of MHC class I allotypes,2307.23
675,PMCID: PMC3650584,Elsevier,Molecular phylogenetics and evolution,Adaptin evolution in kinetoplastids and emergence of the variant surface glycoprotein coat in African trypanosomatids,2424.03
676,PMC3383991,Elsevier,N biotechnol,"Expressing the human proteome for affinity proteomics: optimising expression of soluble protein domains and in vivo biotinylation. 
",2030.16
677,PMID: 22959727  PMC3532594 ,Elsevier,Neurobiology of aging,"A touch screen-automated cognitive test battery reveals impaired attention, memory abnormalities, and increased response inhibition in the TgCRND8 mouse model of Alzheimer's disease",2292.64
678,PMID:23639206,Elsevier,Neurobiology of aging,Frailty and mortality are not influenced by mitochondrial DNA haplotypes in the very old,2387.49
679,"PMC3601331


",Elsevier,Neurobiology of aging,White matter tract signatures of the progressive aphasias,2396.57
680,PMC3713434 ,Elsevier,Neurobiology of aging,Structural integrity of the substantia nigra and subthalamic nucleus predicts the flexibility of instrumental learning in older age,2408.68
681,"PMC3629567

",Elsevier,Neurobiology of aging,Screening for VPS35 mutations in Parkinson's disease,2415.37
682,"PMC3629571


",Elsevier,Neurobiology of aging,Tau acts as an independent genetic risk factor in pathologically proven PD,2415.37
683,"PMC3657696


",Elsevier,Neurobiology of aging,Widespread Lewy body and tau accumulation in childhood and adult onset dystonia-parkinsonism cases with PLA2G6 mutations,2415.37
684,PMC3684773,Elsevier,Neurobiology of aging,Tau phosphorylation impacts on its axonal transport and degradation,2420.16
685,PMID: 18755526,Elsevier,Neurobiology of disease,The val158met COMT polymorphism's effect on atrophy in healthy aging and Parkinson's disease,2218.55
686,PMID: 23396186 PMC3757163 ,Elsevier,Neurobiology of learning and memory,Dissociation between memory retention across a delay and pattern separation following medial prefrontal cortex lesions in the touchscreen TUNL task,2397.64
687,PMC3550523,Elsevier,Neurochemistry international,Glucocerebrosidase inhibition causes mitochondrial dysfunction and free radical damage,2281.08
688,1852.505,Elsevier,Neurochemistry international,Rasagiline protects against alpha-synuclein induced sensitivity to oxidative stress in dopaminergic cells,2415.37
689,"PMC3734349
",Elsevier,Neuroimage,Connectivity-based neurofeedback: dynamic causal modeling for real-time fMRI,1747.16
690,"PMC3734350
",Elsevier,Neuroimage,The impact of distractor congruency on stimulus processing in retinotopic visual cortex,1760.94
691,"PMC3734351
",Elsevier,Neuroimage,Distinct encoding of risk and value in economic choice between multiple risky options,1762.69
692,"PMC3734352
",Elsevier,Neuroimage,Parcellation of the human substantia nigra based on anatomical connectivity to the striatum,1762.69
693,1852.505,Elsevier,Neuroimage,Characterising reward outcome signals in sensory cortex,1779.76
694,PMC3677092 ,Elsevier,Neuroimage,Neural correlates of working memory in Temporal Lobe Epilepsy - An fMRI study,1961.25
695,PMCID: PMC3021391,Elsevier,Neuroimage,Dynamic causal modelling of effective connectivity from fMRI: are results reproducible and sensitive to Parkinson's disease and its treatment?,2100.54
696,PMCID: PMC2877799,Elsevier,Neuroimage,Action selection: a race model for selected and non-selected actions distinguishes the contribution of premotor and prefrontal areas,2118.57
697,PMCID: PMC3459091,Elsevier,Neuroimage,Consistency and interpretation of changes in millimeter-scale cortical intrinsic curvature across three independent datasets in schizophrenia,2142.8
698,"PMCID: PMC3549495
",Elsevier,Neuroimage,Identification of gene pathways implicated in Alzheimer's disease using longitudinal imaging phenotypes with sparse regression,2224.47
699,PMID: 23034517  PMC3480648 ,Elsevier,Neuroimage,5-HTTLPR  environment interplay and its effects on neural reactivity in adolescents,2280.14
700,"PMC3590453

",Elsevier,Neuroimage,Structural correlates of active-staining following magnetic resonance microscopy in the mouse brain,2298.35
701,PMC3520011,Elsevier,Neuroimage,Anatomical connectivity and the resting state activity of large cortical networks,2314.32
702,PMC3547173,Elsevier,Neuroimage,Dynamic Causal Modelling of lateral interactions in the visual cortex,2326.43
703,PMCID:,Elsevier,Neuroimage,Complex spatiotemporal haemodynamic response following sensory stimulation in the awake rat,2343.65
704,"PMC3708127

",Elsevier,Neuroimage,Articulatory movements modulate auditory responses to speech,2382.88
705,23194819  PMC3555187 ,Elsevier,Neuroimage,A quantitative meta-analysis and review of motor learning in the human brain,2385.25
706,PMC3566585,Elsevier,Neuroimage,Network discovery with large DCMs,2395.43
707,"PMC3610031

",Elsevier,Neuroimage,Network reconfiguration and working memory impairment in mesial temporal lobe epilepsy,2395.87
708,"PMC3566546

",Elsevier,Neuroimage,Investigating the need of triggering the acquisition for infant diffusion MRI: A quantitative study including bootstrap statistics,2396.57
709,"PMC3682182

",Elsevier,Neuroimage,Early visual learning induces long-lasting connectivity changes during rest in the human brain,2420.79
710,"PMC3591253

",Elsevier,Neuroimage,Movement related dynamics of subthalmo-cortical alpha connectivity in Parkinson's Disease,2432.33
711,PMC3682191,Elsevier,Neuroimage,A multivariate method to determine the dimensionality of neural representation from population activity,2445.75
712,"PMC3605597


",Elsevier,Neuroimage,The impact of post-processing on spinal cord diffusion tensor imaging,2466.45
713,"PMC3613798

",Elsevier,Neuroimage,Functional Specialization and Generalization for Grouping of Stimuli Based on Colour and Motion,2484.23
714,"PMC3625122


",Elsevier,Neuroimage,Auditory Modulation of Visual Stimulus Encoding in Human Retinotopic Cortex,2503.34
715,"PMC3625125


",Elsevier,Neuroimage,Set-level threshold-free tests on the intrinsic volumes of SPMs,2503.34
716,1852.505,Elsevier,Neuroimage: clinical,Disrupted segregation of working memory networks in temporal lobe epilepsy,1003.57
717,1852.505,Elsevier,Neuroimage: clinical,A comparison of VLSM and VBM in a cohort of patients with post-stroke aphasia,1127.84
718,1852.505,Elsevier,Neuroimage: clinical,Multiparametric Brainstem Segmentation using a Modified Multivariate Mixture of Gaussians,1198.13
719,1852.505,Elsevier,Neuroimage: clinical,Predicting Outcome and Recovery after Stroke with Lesions Extracted From MRI Images,987.75
720,1852.505,Elsevier,Neuroimage: clinical,Assessing a standardised approach to measuring corticospinal integrity after stroke with DTI,1168.54
721,23845426,Elsevier,Neurolmage,Reliable qualification of BOLD fMRI cerebrovascular reactivity despite poor breath-hold performance,1819.51
722,23085109 PMC3580290 ,Elsevier,Neurolmage,A pitfall in the reconstruction of fibre ODFs using spherical deconvolution of diffusion MRI data,2518.23
723,PMC3841574,Elsevier,Neuromuscular disorders,Initial development and validation of mitochondrial disease of life scale,2274.9
724,PMC3427859,Elsevier,Neuron,The LIM-Homeodomain Protein Islet Dictates Motor Neuron Electrical Properties by Regulating K(+) Channel Expression,3608.34
725,PMC3752973,Elsevier,Neuron,Neural primacy of the salience processing system in schizophrenia,3742.98
726,1852.505,Elsevier,Neuron,Nanoscale-targeted patch clamp recordings of functional presynaptic ion channels,3997.71
727,"PMC3580285


",Elsevier,Neuron,the emergence and representation of knowledge about social and non-social hierarchies,4012.03
728,PMC3748348,Elsevier,Neuron,Attention induced variance and noise correclation reduction on macaque V1 is mediated by NMDA receptors,4105.34
729,2875410,Elsevier,Neuron,"Distinct contributions of rod, cone, and melanopsin photoreceptors to encoding irradiance",4170.35
730,PMC3458212,Elsevier,Neuron,An agent independent axis for executed and modeled choice in medial prefrontal cortex,623.43
731,PMC3778433,Elsevier,Neuropharmacology,Influence of GluN2 subunit identity on NMDA receptor function,2488.17
732,PMC3778432,Elsevier,Neuropharmacology,Recovery of NMDA receptor currents from MK-801 blockade is accelerated by Mg2+ and memantine under conditions of agonist exposure.,2980.36
733,"PMC3546162

",Elsevier,Neuropharmacology,Methamphetamine-induced nitric oxide promotes vesicular transport in blood-brain barrier endothelial cells,1063.31
734,PMCID: PMC3562439,Elsevier,Neurophysiologia,"Time, action and psychosis: Using subjective time to investigate the effects of ketamine on sense of urgency",2142.8
735,"PMC3724054

",Elsevier,Neuropsychologia,Agnosia for accents in primary progressive aphasia,1431.77
736,PMC3702998 ,Elsevier,Neuropsychologia,The role of prestimulus activity in visual extinction,1442.21
737,Pub July 2013,Elsevier,Neuropsychologia,Unimpaired discrimination of fearful prosody after amygdala lesion,1457.21
738,PMID:24056298,Elsevier,Neuropsychologia,Improved effectiveness of performance monitoring in amateur instrumental musicians,1464.88
739,PMC3557385,Elsevier,Neuropsychologia,It does not look odd to me: Perceptual impairments and eye movements in amnesic patients with medial temporal lobe damage,2336.17
740,"PMC3611598


",Elsevier,Neuropsychologia,Neuroanatomical correlates of biological motion detection,2494.82
741,23178227 PMC3611599 ,Elsevier,Neuropsychologia,Distinct Subdivisions of the Cingulum bundle revealed by diffusion MRI fibre tracking,2535.62
742,PMC3746156,Elsevier,Neuroscience,The relationship between tetanus intensity and the magnitude of hippocampal long-term potentiation in vivo,2451.49
743,PMID:23500098 -PMC3661980,Elsevier,Neuroscience,APPAR? agonist provides neuroprotection in the MPTP model of Parkinson's Disease,2491.54
744,PMC3746156,Elsevier,Neuroscience,The relationship between tetanus intensity and the magnitude of hippocampal long-term potentiation in vivo.,2303.16
745,PMCID: PMC3788850,Elsevier,Neuroscience and behavioural reviews,Innovative solutions to novel drug development in mental health,2413.8
746,PMC3725411,Elsevier,Neuroscience letters,NMDA receptor-dependent glutamate excitotoxicity in human embryonic stem cell-derived neurons,1444.07
747,PMC3556777,Elsevier,Neuroscience letters,"Deletion of Crry, the murine ortholog of the sporadic Alzheimers disease risk gene CR1, impacts tau phosphorylation and brain CFH",2333.71
748,1852.505,Elsevier,Neuroscience letters,Study of the genetic variability in a Parkinson's Disease gene: EIF4G1,2415.37
749,PMC2779337,Elsevier,Nitric oxide,What is the real physiological NO concentration in vivo?,2220.99
750,PMC3694301,Elsevier,Ophthalmology,Epilation for trachomatous trichiasis and the risk of corneal opacification.,1953.76
751,3560059,Elsevier,Osteoarthritis and cartilage,New tools for studying osteoarthritis genetics in zebrafish,2295.39
752,PMC3549497,Elsevier,Pain,Amygdala activity contributes to the dissociative effect of canabis on pain perception,2330.99
753,23707280,Elsevier,Pain,Functional differences between neurochemically-defined populations of inhibitory interneurons in the rat spinal dorsal horn,2377.17
754,not yet published,Elsevier,Pain,Focus on pain in the blind,2394.21
755,3763373,Elsevier,Pain,Endogenous analgesic action of the pontospinal noradrenergic system spatially restricts and temporally delays the progression of neuropathic pain following tibial nerve injury,2404.04
756,PMCID: PMC3638232,Elsevier,Parkinsonism and related disorders,Coactivation sign in fixed dystonia,2251.56
757,23892176,Elsevier,Parsitology,Using lymph node transplantation as an approach to image cellular interactions between skin and draining lymph nodes,2058.96
758,PMC3149299,Elsevier,Personality and individual differences,Developing a measure of interpretation bias for depressed mood: An ambiguous scenarios test,2357.04
759,PMID: 23375993 PMCID: PMC3712186 ,Elsevier,Preventive medicine,"Incorporating walking or cycling into car journeys to and from work: the role of individual, workplace and environmental characteristics",1160.62
760,PMID: 22964003,Elsevier,Preventive medicine,Associations between active commuting and physical activity in working adults: cross sectional results from the Commuting and Health in Cambridge study,1188.83
761,PMCID: PMC3722482,Elsevier,Preventive medicine,Associations between active commuting and physical and mental wellbeing,1273.15
762,PMCID: PMC3509192,Elsevier,Preventive medicine,Parent awareness of young childrens physical activity,2321.23
763,PMID: 22796629 PMC3824070 ,Elsevier,Preventive medicine,Is active travel associated with greater physical activity? The contribution of commuting and non-commuting active travel to total physical activity in adults,2377.65
